Trolley_Rank,Stop_Name,Route,District,Units_2020_2025,Permits_2020_2025,Development_Score,Frequency_Score,Total_Score
257,Richmond St & Lehigh Av,G1,1,20,2,1.8,25.5,27.2
258,Richmond St & Huntingdon St,G1,1,20,2,1.8,25.5,27.2
259,Richmond St & Cumberland St,G1,1,20,2,1.8,25.5,27.2
260,Girard Av & 57th St,G1,4,20,2,1.8,25.5,27.2
261,Girard Av & 62nd St,G1,4,20,2,1.8,25.5,27.2
262,Girard Av & 31st St,G1,4,20,2,1.8,25.5,27.2
263,Richmond St & Cumberland St,G1,1,20,2,1.8,25.5,27.2
264,Richmond St & Huntingdon St,G1,1,20,2,1.8,25.5,27.2
265,Richmond St & Lehigh Av,G1,1,20,2,1.8,25.5,27.2
266,Richmond St & Somerset St,G1,1,20,2,1.8,25.5,27.2
267,Richmond St & Cambria St,G1,1,20,2,1.8,25.5,27.2
268,63rd-Malvern,T1,4,20,2,1.8,25.5,27.2
269,Malvern Av & 63rd St,T1,4,20,2,1.8,25.5,27.2
270,63rd St & Lebanon Av,T1,4,20,2,1.8,25.5,27.2
271,Lansdowne Av & 59th St,T1,4,20,2,1.8,25.5,27.2
272,Lansdowne Av & 58th St,T1,4,20,2,1.8,25.5,27.2
273,Lansdowne Av & 57th St,T1,4,20,2,1.8,25.5,27.2
274,36th St & Market St,T1,3,20,2,1.8,25.5,27.2
275,Lansdowne Av & 57th St,T1,4,20,2,1.8,25.5,27.2
276,Lansdowne Av & 58th St,T1,4,20,2,1.8,25.5,27.2
277,Lansdowne Av & 59th St,T1,4,20,2,1.8,25.5,27.2
278,63rd St & Columbia Av,T1,4,20,2,1.8,25.5,27.2
279,63rd-Malvern,T1,4,20,2,1.8,25.5,27.2
280,Baltimore Av & 46th St,T2,3,15,1,1.3,25.5,26.8
281,Baltimore Av & 45th St,T2,3,15,1,1.3,25.5,26.8
282,Baltimore Av & 45th St,T2,3,15,1,1.3,25.5,26.8
283,Baltimore Av & 46th St,T2,3,15,1,1.3,25.5,26.8
284,Girard Av & 33rd St,G1,4,10,1,0.9,25.5,26.4
