Rank,Stop_Name,Route,District,Permits_2020_2025,Units_2020_2025,Latitude,Longitude
260,Girard Av & 57th St,G1,4,2,20,39.970585,-75.234096
261,Girard Av & 62nd St,G1,4,2,20,39.970063,-75.243216
262,Girard Av & 31st St,G1,4,2,20,39.974938,-75.18675
263,Richmond St & Cumberland St,G1,1,2,20,39.974153,-75.118181
264,Richmond St & Huntingdon St,G1,1,2,20,39.975441,-75.11573
265,Richmond St & Lehigh Av,G1,1,2,20,39.976729,-75.113302
266,Richmond St & Somerset St,G1,1,2,20,39.977981,-75.110887
267,Richmond St & Cambria St,G1,1,2,20,39.978914,-75.109052
268,63rd-Malvern,T1,4,2,20,39.983838,-75.245957
269,Malvern Av & 63rd St,T1,4,2,20,39.983697,-75.247009
270,63rd St & Lebanon Av,T1,4,2,20,39.980912,-75.246661
271,Lansdowne Av & 59th St,T1,4,2,20,39.976054,-75.238653
272,Lansdowne Av & 58th St,T1,4,2,20,39.976248,-75.236904
273,Lansdowne Av & 57th St,T1,4,2,20,39.976406,-75.235403
274,36th St & Market St,T1,3,2,20,39.956058,-75.194113
275,Lansdowne Av & 57th St,T1,4,2,20,39.976522,-75.235249
276,Lansdowne Av & 58th St,T1,4,2,20,39.976363,-75.23675
277,Lansdowne Av & 59th St,T1,4,2,20,39.97617,-75.238499
278,63rd St & Columbia Av,T1,4,2,20,39.980582,-75.246461
279,63rd-Malvern,T1,4,2,20,39.983838,-75.245957
280,Baltimore Av & 46th St,T2,3,1,15,39.948786,-75.215061
281,Baltimore Av & 45th St,T2,3,1,15,39.949006,-75.213018
282,Baltimore Av & 45th St,T2,3,1,15,39.949148,-75.212828
283,Baltimore Av & 46th St,T2,3,1,15,39.948937,-75.214884
284,Girard Av & 33rd St,G1,4,1,10,39.975199,-75.188002
285,Girard Av & 49th St,G1,4,1,10,39.972917,-75.219064
286,Girard Av & 59th St,G1,4,1,10,39.970224,-75.237334
287,Girard Av & 60th St,G1,4,1,10,39.970039,-75.238988
288,Girard Av & 60th St,G1,4,1,10,39.969897,-75.239366
289,Girard Av & 59th St,G1,4,1,10,39.970099,-75.237523
290,Girard Av & 57th St,G1,4,1,10,39.97046,-75.234285
291,Girard Av & Lancaster Av,G1,3,1,10,39.972978,-75.218521
292,Girard Av & 34th St - MBFS,G1,3,1,10,39.974841,-75.196733
293,63rd St & Jefferson St,T1,4,1,10,39.97835,-75.246184
294,Lansdowne Av & 62nd St,T1,4,1,10,39.975499,-75.243651
295,Lansdowne Av & 61st St,T1,4,1,10,39.975693,-75.241879
296,Lancaster Av & Girard Av,T1,4,1,10,39.973059,-75.218615
297,36th St Trolley Portal Station,T1,3,1,10,39.955335,-75.194162
298,15th St/City Hall,T1,5,1,10,39.952502,-75.165369
299,15th St/City Hall,T1,5,1,10,39.952672,-75.165345
300,36th St Trolley Portal Station,T1,3,1,10,39.955451,-75.194233
301,Lancaster Av & 49th St,T1,4,1,10,39.973703,-75.219464
302,Lansdowne Av & 61st St,T1,4,1,10,39.975809,-75.241725
303,Lansdowne Av & 62nd St,T1,4,1,10,39.975615,-75.243497
304,63rd St & Jefferson St,T1,4,1,10,39.978234,-75.24603
305,Elmwood Av & 73rd St,T2,2,1,10,39.914129,-75.241816
306,Woodland Av & Island Av,T2,2,1,10,39.917099,-75.246376
307,49th St & Woodland Av,T2,3,1,10,39.940794,-75.212429
308,Baltimore Av & 57th St,T2,3,1,10,39.946386,-75.237327
309,36th-Sansom,T2,3,1,10,39.953854,-75.194533
310,15th St/City Hall,T2,5,1,10,39.952502,-75.165369
311,15th St/City Hall,T2,5,1,10,39.952672,-75.165345
312,36th-Sansom,T2,3,1,10,39.95389,-75.194722
313,Woodland Av & Island Av,T2,2,1,10,39.917304,-75.246245
314,Elmwood Av & 73rd St,T2,2,1,10,39.914335,-75.241732
315,36th-Sansom,T3,3,1,10,39.953854,-75.194533
316,15th St/City Hall,T3,5,1,10,39.952502,-75.165369
317,15th St/City Hall,T3,5,1,10,39.952672,-75.165345
318,36th-Sansom,T3,3,1,10,39.95389,-75.194722
319,Chester Av & 56th St,T3,3,1,10,39.937871,-75.225625
320,Woodland Av & Island Av,T4,2,1,10,39.917099,-75.246376
321,Woodland Av & 72nd St,T4,2,1,10,39.918432,-75.244412
322,Woodland Av & 71st St,T4,2,1,10,39.919361,-75.243077
323,Woodland Av & 70th St,T4,2,1,10,39.920483,-75.24148
324,Woodland Av & 69th St,T4,2,1,10,39.921463,-75.240097
325,Woodland Av & 49th St,T4,3,1,10,39.940767,-75.212665
326,Woodland Av & 45th St,T4,3,1,10,39.94541,-75.208565
327,36th-Sansom,T4,3,1,10,39.953854,-75.194533
328,15th St/City Hall,T4,5,1,10,39.952502,-75.165369
329,15th St/City Hall,T4,5,1,10,39.952672,-75.165345
330,36th-Sansom,T4,3,1,10,39.95389,-75.194722
331,Woodland Av & 43rd St,T4,3,1,10,39.945767,-75.20834
332,Woodland Av & 49th St,T4,3,1,10,39.940955,-75.212582
333,Woodland Av & 69th St,T4,2,1,10,39.921641,-75.240037
334,Woodland Av & 70th St,T4,2,1,10,39.920688,-75.241397
335,Woodland Av & 71st St,T4,2,1,10,39.919584,-75.242958
336,Woodland Av & 72nd St,T4,2,1,10,39.918622,-75.244342
337,Woodland Av & Island Av,T4,2,1,10,39.917304,-75.246245
338,Elmwood Loop,T5,2,1,10,39.914015,-75.242642
339,Elmwood Av & 73rd St,T5,2,1,10,39.914129,-75.241816
340,49th St & Paschall Av,T5,3,1,10,39.939819,-75.211286
341,49th St & Woodland Av,T5,3,1,10,39.940794,-75.212429
342,Woodland Av & 45th St,T5,3,1,10,39.94541,-75.208565
343,36th-Sansom,T5,3,1,10,39.953854,-75.194533
344,15th St/City Hall,T5,5,1,10,39.952502,-75.165369
345,15th St/City Hall,T5,5,1,10,39.952672,-75.165345
346,36th-Sansom,T5,3,1,10,39.95389,-75.194722
347,Woodland Av & 43rd St,T5,3,1,10,39.945767,-75.20834
348,Woodland Av & 49th St,T5,3,1,10,39.940955,-75.212582
349,49th St & Paschall Av,T5,3,1,10,39.93998,-75.211652
350,Elmwood Av & 73rd St,T5,2,1,10,39.914335,-75.241732
351,Elmwood Loop,T5,2,1,10,39.914015,-75.242642
