Rank_by_Units,Station_Stop_Name,Line_Route,Mode,District,Units_2020_2025,Permits_2020_2025,Score,Tier,BSL_MFL_Citywide_Rank,Existing_TOD_Overlay
138,Chester Av & 53rd St,Trolley T3,Trolley,3,123,13,,Trolley,,No
139,52nd Street,Market/Frankford Line,BSL/MFL,3,118,,37.6,Tier 3 - Moderate Candidate,9,Yes
140,Baltimore Av & Broomall St,Trolley T2,Trolley,3,117,9,,Trolley,,No
141,Baltimore Av & 54th St,Trolley T2,Trolley,3,117,9,,Trolley,,No
142,Girard Av & 51st St,Trolley G1,Trolley,4,113,10,,Trolley,,No
143,Girard Av & 52nd St,Trolley G1,Trolley,4,113,10,,Trolley,,No
144,Girard Av & 52nd St,Trolley G1,Trolley,4,113,10,,Trolley,,No
145,Girard Av & 51st St,Trolley G1,Trolley,3,113,10,,Trolley,,No
146,Chester Av & 48th St,Trolley T3,Trolley,3,113,4,,Trolley,,No
147,Chester Av & 47th St,Trolley T3,Trolley,3,113,4,,Trolley,,No
148,Chester Av & 47th St,Trolley T3,Trolley,3,113,4,,Trolley,,No
149,Chester Av & 48th St,Trolley T3,Trolley,3,113,4,,Trolley,,No
150,Overbrook,Regional Rail,Regional Rail,4,111,1,,Regional Rail,,No
151,Girard Av & 39th St,Trolley G1,Trolley,4,110,12,,Trolley,,No
152,Baltimore Av & 54th St,Trolley T2,Trolley,3,107,8,,Trolley,,No
153,Girard Av & 27th St,Trolley G1,Trolley,5,106,10,,Trolley,,No
154,Woodland Av & 47th St,Trolley T4,Trolley,3,101,3,,Trolley,,No
155,Woodland Av & 46th St,Trolley T4,Trolley,3,101,3,,Trolley,,No
156,Woodland Av & 46th St,Trolley T4,Trolley,3,101,3,,Trolley,,No
157,Woodland Av & 46th St,Trolley T5,Trolley,3,101,3,,Trolley,,No
158,Woodland Av & 46th St,Trolley T5,Trolley,3,101,3,,Trolley,,No
159,North Philadelphia Amtrak,Regional Rail,Regional Rail,8,93,8,,Regional Rail,,No
160,North Philadelphia,Regional Rail,Regional Rail,8,93,8,,Regional Rail,,No
161,Chester Av & 46th St,Trolley T3,Trolley,3,91,2,,Trolley,,No
162,Chester Av & 45th St,Trolley T3,Trolley,3,91,2,,Trolley,,No
163,Chester Av & 45th St,Trolley T3,Trolley,3,91,2,,Trolley,,No
164,Chester Av & 46th St,Trolley T3,Trolley,3,91,2,,Trolley,,No
165,Lancaster Av & Powelton Av,Trolley T1,Trolley,3,90,10,,Trolley,,No
166,Baltimore Av & 50th St,Trolley T2,Trolley,3,90,9,,Trolley,,No
167,Baltimore Av & 49th St,Trolley T2,Trolley,3,90,9,,Trolley,,No
168,Baltimore Av & 49th St,Trolley T2,Trolley,3,90,9,,Trolley,,No
169,Baltimore Av & 50th St,Trolley T2,Trolley,3,90,9,,Trolley,,No
170,Woodland Av & 48th St,Trolley T4,Trolley,3,86,2,,Trolley,,No
171,Woodland Av & 48th St,Trolley T4,Trolley,3,86,2,,Trolley,,No
172,Woodland Av & 48th St,Trolley T5,Trolley,3,86,2,,Trolley,,No
173,Woodland Av & 48th St,Trolley T5,Trolley,3,86,2,,Trolley,,No
174,Chelten Avenue,Regional Rail,Regional Rail,8,84,6,,Regional Rail,,No
175,Chester Av & 54th St,Trolley T3,Trolley,3,83,9,,Trolley,,No
176,Lancaster Av & Bible Way,Trolley T1,Trolley,4,81,9,,Trolley,,No
177,Lancaster Av & 52nd St,Trolley T1,Trolley,4,81,9,,Trolley,,No
178,Baltimore Av & 49th St,Trolley T2,Trolley,3,80,8,,Trolley,,No
179,Baltimore Av & 49th St,Trolley T2,Trolley,3,80,8,,Trolley,,No
180,North Broad,Regional Rail,Regional Rail,5,79,10,,Regional Rail,,No
181,Chester Av & 54th St,Trolley T3,Trolley,3,79,8,,Trolley,,No
182,Susquehanna-Dauphin,Broad Street Line,BSL/MFL,5,77,,30.2,Tier 3 - Moderate Candidate,11,No
183,Girard Av & 28th St,Trolley G1,Trolley,5,76,7,,Trolley,,No
184,Girard Av & 28th St,Trolley G1,Trolley,5,76,7,,Trolley,,No
185,26th St & Poplar St,Trolley G1,Trolley,5,76,7,,Trolley,,No
186,Lansdowne Av & 63rd - FS,Trolley T1,Trolley,4,72,4,,Trolley,,No
187,63rd St & Lansdowne Av - FS,Trolley T1,Trolley,4,72,4,,Trolley,,No
188,Girard Av & 54th St,Trolley G1,Trolley,4,70,7,,Trolley,,No
189,Girard Av & 54th St,Trolley G1,Trolley,4,70,7,,Trolley,,No
190,Lansdowne Av & 55th St,Trolley T1,Trolley,4,68,7,,Trolley,,No
191,Lansdowne Av & Lancaster Av,Trolley T1,Trolley,4,68,7,,Trolley,,No
192,Lancaster Av & 47th St,Trolley T1,Trolley,3,68,8,,Trolley,,No
193,Lancaster Av & 47th St,Trolley T1,Trolley,3,68,8,,Trolley,,No
194,Girard Av & Berks St,Trolley G1,Trolley,1,66,7,,Trolley,,No
195,Girard Av & Columbia Av,Trolley G1,Trolley,5,66,7,,Trolley,,No
196,Girard Av & 29th St,Trolley G1,Trolley,5,66,6,,Trolley,,No
197,Girard Av & 29th St,Trolley G1,Trolley,5,66,6,,Trolley,,No
198,Girard Av & Berks St,Trolley G1,Trolley,1,66,7,,Trolley,,No
199,Island Av & Tanager St - F,Trolley T5,Trolley,2,65,3,,Trolley,,No
200,Island Av & Buist Av,Trolley T5,Trolley,2,65,3,,Trolley,,No
201,Island Av & Buist Av - FS,Trolley T5,Trolley,2,65,3,,Trolley,,No
202,Island Av & Tanager St,Trolley T5,Trolley,2,65,3,,Trolley,,No
203,Lansdowne Av & 56th St,Trolley T1,Trolley,4,64,6,,Trolley,,No
204,Lansdowne Av & 56th St,Trolley T1,Trolley,4,64,6,,Trolley,,No
205,Richmond St & Clearfield St,Trolley G1,Trolley,1,61,4,,Trolley,,No
206,Richmond St & Ann St,Trolley G1,Trolley,1,61,4,,Trolley,,No
207,Richmond St & Ann St,Trolley G1,Trolley,1,61,4,,Trolley,,No
208,Richmond St & Clearfield St,Trolley G1,Trolley,1,61,4,,Trolley,,No
209,Girard Av & Columbia Av,Trolley G1,Trolley,1,60,6,,Trolley,,No
210,22nd St,Trolley T1,Trolley,2,60,6,,Trolley,,No
211,22nd St,Trolley T1,Trolley,5,60,6,,Trolley,,No
212,Baltimore Av & 55th St,Trolley T2,Trolley,3,60,6,,Trolley,,No
213,Baltimore Av & Florence Av,Trolley T2,Trolley,3,60,6,,Trolley,,No
214,22nd St,Trolley T2,Trolley,2,60,6,,Trolley,,No
215,22nd St,Trolley T2,Trolley,5,60,6,,Trolley,,No
216,Baltimore Av & 55th St,Trolley T2,Trolley,3,60,6,,Trolley,,No
217,22nd St,Trolley T3,Trolley,2,60,6,,Trolley,,No
218,22nd St,Trolley T3,Trolley,5,60,6,,Trolley,,No
219,22nd St,Trolley T4,Trolley,2,60,6,,Trolley,,No
220,22nd St,Trolley T4,Trolley,5,60,6,,Trolley,,No
221,22nd St,Trolley T5,Trolley,2,60,6,,Trolley,,No
222,22nd St,Trolley T5,Trolley,5,60,6,,Trolley,,No
223,Lansdowne Av & 54th St,Trolley T1,Trolley,4,58,6,,Trolley,,No
224,Lansdowne Av & 54th St,Trolley T1,Trolley,4,58,6,,Trolley,,No
225,Lansdowne Av & 55th St,Trolley T1,Trolley,4,58,6,,Trolley,,No
226,Island Av & 76th St,Trolley T5,Trolley,2,55,2,,Trolley,,No
227,Elmwood Av & Island Av - M,Trolley T5,Trolley,2,55,2,,Trolley,,No
228,Elmwood Av & Island Av,Trolley T5,Trolley,2,55,2,,Trolley,,No
229,Island Av & 76th St,Trolley T5,Trolley,2,55,2,,Trolley,,No
230,Girard Av & Merion Av,Trolley G1,Trolley,4,54,6,,Trolley,,No
231,Girard Av & Merion Av,Trolley G1,Trolley,3,54,6,,Trolley,,No
232,Somerset,Market/Frankford Line,BSL/MFL,7,50,,32.0,Tier 3 - Moderate Candidate,10,Yes
233,Richmond St & Girard Av,Trolley G1,Trolley,1,50,5,,Trolley,,No
234,Girard Av & Richmond St,Trolley G1,Trolley,1,50,5,,Trolley,,No
235,Baltimore Av & 56th St,Trolley T2,Trolley,3,50,5,,Trolley,,No
236,Baltimore Av & 56th St,Trolley T2,Trolley,3,50,5,,Trolley,,No
237,Lancaster Av & 48th St,Trolley T1,Trolley,3,48,6,,Trolley,,No
238,East Falls,Regional Rail,Regional Rail,4,46,2,,Regional Rail,,No
239,Lancaster Av & 36th St,Trolley T1,Trolley,3,46,5,,Trolley,,No
240,Hunting Park,Broad Street Line,BSL/MFL,5,45,,27.4,Tier 4 - Lower Priority,16,No
241,Manayunk,Regional Rail,Regional Rail,4,44,5,,Regional Rail,,No
242,Church,Market/Frankford Line,BSL/MFL,7,42,,29.6,Tier 4 - Lower Priority,13,No
243,Richmond St & Allegheny Av,Trolley G1,Trolley,6,41,2,,Trolley,,No
244,Richmond St & Allegheny Av,Trolley G1,Trolley,1,41,2,,Trolley,,No
245,63rd Street,Market/Frankford Line,BSL/MFL,3,40,,29.7,Tier 4 - Lower Priority,12,Yes
246,Germantown,Regional Rail,Regional Rail,8,40,4,,Regional Rail,,No
247,Woodland Av & 50th St,Trolley T2,Trolley,3,40,4,,Trolley,,No
248,Woodland Av & 53rd St,Trolley T4,Trolley,3,40,4,,Trolley,,No
249,Woodland Av & 52nd St,Trolley T4,Trolley,3,40,4,,Trolley,,No
250,Woodland Av & 51st St,Trolley T4,Trolley,3,40,4,,Trolley,,No
251,Woodland Av & 50th St,Trolley T4,Trolley,3,40,4,,Trolley,,No
252,Woodland Av & 50th St,Trolley T4,Trolley,3,40,4,,Trolley,,No
253,Woodland Av & 51st St,Trolley T4,Trolley,3,40,4,,Trolley,,No
254,Woodland Av & 52nd St,Trolley T4,Trolley,3,40,4,,Trolley,,No
255,Woodland Av & 53rd St,Trolley T4,Trolley,3,40,4,,Trolley,,No
256,Woodland Av & 54th St,Trolley T4,Trolley,3,40,4,,Trolley,,No
257,Chester Av & 55th St,Trolley T3,Trolley,3,39,4,,Trolley,,No
258,Chester Av & 55th St,Trolley T3,Trolley,3,39,4,,Trolley,,No
259,Olney Transportation Center,Broad Street Line,BSL/MFL,9,36,,28.5,Tier 4 - Lower Priority,14,No
260,Girard Av & Palmer St,Trolley G1,Trolley,5,36,4,,Trolley,,No
261,Girard Av & Palmer St,Trolley G1,Trolley,5,36,4,,Trolley,,No
262,36th St & Lancaster Av,Trolley T1,Trolley,3,36,4,,Trolley,,No
263,Lancaster Av & 50th St,Trolley T1,Trolley,4,33,4,,Trolley,,No
264,Lancaster Av & 50th St,Trolley T1,Trolley,4,33,4,,Trolley,,No
265,Arrott Transportation Center,Market/Frankford Line,BSL/MFL,7,30,,27.4,Tier 4 - Lower Priority,15,No
266,Wayne Junction,Regional Rail,Regional Rail,8,30,3,,Regional Rail,,No
267,Upsal,Regional Rail,Regional Rail,8,30,3,,Regional Rail,,No
268,Girard Av & 31st St,Trolley G1,Trolley,4,30,3,,Trolley,,No
269,Girard Av & 56th St,Trolley G1,Trolley,4,30,3,,Trolley,,No
270,Girard Av & 61st St,Trolley G1,Trolley,4,30,3,,Trolley,,No
271,Girard Av & 56th St,Trolley G1,Trolley,4,30,3,,Trolley,,No
272,Baltimore Av & 48th St,Trolley T2,Trolley,3,30,3,,Trolley,,No
273,Woodland Av & 54th St,Trolley T4,Trolley,3,30,3,,Trolley,,No
274,Girard Av & 63rd St - MBFS,Trolley G1,Trolley,4,26,3,,Trolley,,No
275,Girard Av & 63rd St - MBFS,Trolley G1,Trolley,4,26,3,,Trolley,,No
276,Elmwood Av & 59th St,Trolley T5,Trolley,2,26,2,,Trolley,,No
277,Elmwood Av & 58th St,Trolley T5,Trolley,2,26,2,,Trolley,,No
278,Elmwood Av & 57th St,Trolley T5,Trolley,2,26,2,,Trolley,,No
279,Elmwood Av & 56th St,Trolley T5,Trolley,2,26,2,,Trolley,,No
280,Elmwood Av & 56th St,Trolley T5,Trolley,2,26,2,,Trolley,,No
281,Elmwood Av & 57th St,Trolley T5,Trolley,2,26,2,,Trolley,,No
282,Elmwood Av & 58th St,Trolley T5,Trolley,2,26,2,,Trolley,,No
283,Elmwood Av & 59th St,Trolley T5,Trolley,2,26,2,,Trolley,,No
284,Lancaster Av & Thompson St,Trolley T1,Trolley,4,23,3,,Trolley,,No
285,60th Street,Market/Frankford Line,BSL/MFL,3,22,,26.2,Tier 4 - Lower Priority,17,Yes
286,Queen Lane,Regional Rail,Regional Rail,8,20,2,,Regional Rail,,No
287,Richmond St & Cambria St,Trolley G1,Trolley,1,20,2,,Trolley,,No
288,Richmond St & Somerset St,Trolley G1,Trolley,1,20,2,,Trolley,,No
289,Richmond St & Lehigh Av,Trolley G1,Trolley,1,20,2,,Trolley,,No
290,Richmond St & Huntingdon St,Trolley G1,Trolley,1,20,2,,Trolley,,No
291,Richmond St & Cumberland St,Trolley G1,Trolley,1,20,2,,Trolley,,No
292,Girard Av & 57th St,Trolley G1,Trolley,4,20,2,,Trolley,,No
293,Girard Av & 62nd St,Trolley G1,Trolley,4,20,2,,Trolley,,No
294,Girard Av & 31st St,Trolley G1,Trolley,4,20,2,,Trolley,,No
295,Richmond St & Cumberland St,Trolley G1,Trolley,1,20,2,,Trolley,,No
296,Richmond St & Huntingdon St,Trolley G1,Trolley,1,20,2,,Trolley,,No
297,Richmond St & Lehigh Av,Trolley G1,Trolley,1,20,2,,Trolley,,No
298,Richmond St & Somerset St,Trolley G1,Trolley,1,20,2,,Trolley,,No
299,Richmond St & Cambria St,Trolley G1,Trolley,1,20,2,,Trolley,,No
300,63rd-Malvern,Trolley T1,Trolley,4,20,2,,Trolley,,No
301,Malvern Av & 63rd St,Trolley T1,Trolley,4,20,2,,Trolley,,No
302,63rd St & Lebanon Av,Trolley T1,Trolley,4,20,2,,Trolley,,No
303,Lansdowne Av & 59th St,Trolley T1,Trolley,4,20,2,,Trolley,,No
304,Lansdowne Av & 58th St,Trolley T1,Trolley,4,20,2,,Trolley,,No
305,Lansdowne Av & 57th St,Trolley T1,Trolley,4,20,2,,Trolley,,No
306,36th St & Market St,Trolley T1,Trolley,3,20,2,,Trolley,,No
307,Lansdowne Av & 57th St,Trolley T1,Trolley,4,20,2,,Trolley,,No
308,Lansdowne Av & 58th St,Trolley T1,Trolley,4,20,2,,Trolley,,No
309,Lansdowne Av & 59th St,Trolley T1,Trolley,4,20,2,,Trolley,,No
310,63rd St & Columbia Av,Trolley T1,Trolley,4,20,2,,Trolley,,No
311,63rd-Malvern,Trolley T1,Trolley,4,20,2,,Trolley,,No
312,Wyoming,Broad Street Line,BSL/MFL,8,17,,23.4,Tier 4 - Lower Priority,22,No
313,Cecil B Moore,Broad Street Line,BSL/MFL,5,17,,21.6,Tier 4 - Lower Priority,28,No
314,Baltimore Av & 46th St,Trolley T2,Trolley,3,15,1,,Trolley,,No
315,Baltimore Av & 45th St,Trolley T2,Trolley,3,15,1,,Trolley,,No
316,Baltimore Av & 45th St,Trolley T2,Trolley,3,15,1,,Trolley,,No
317,Baltimore Av & 46th St,Trolley T2,Trolley,3,15,1,,Trolley,,No
318,Angora,Regional Rail,Regional Rail,3,10,1,,Regional Rail,,No
319,Wissahickon,Regional Rail,Regional Rail,4,10,1,,Regional Rail,,No
